FEN,Score
rnb2br1/pp1pp1p1/q1p2kpn/5p2/8/3P2P1/PPP1PPBP/RNBQK2R w KQ - 2 12,-237
2r1bb2/p1p1p2k/1p1q1p2/5n2/1PPP2rP/2K1NnP1/PQ2P1R1/1RB2B2 b - - 13 28,+818
7k/2p5/p1bB1p2/1p1pP3/1r5P/P2P2P1/1PP1P2K/1RR5 w - - 2 63,+1281
r1b2knr/pp1ppp1p/3p3b/q4np1/2P4P/P4P2/1P1PP1PR/R1BQKBN1 b - - 0 11,+620
5K2/5P2/2B5/8/5k2/8/8/8 w - - 21 222,+9
8/3n2k1/3p2p1/3r3p/1K1RPP1P/N3B3/1P6/8 b - - 2 92,-1010
8/2k2p1p/3p4/5b2/5K2/5P1r/5P2/7R b - - 1 69,+1214
5q1b/rQpppr1k/p4n2/5ppp/2P5/P1N2NP1/1P1PPPRP/R1BK1B2 w - - 14 30,+1327
8/8/7k/4K3/8/3r4/8/8 w - - 10 262,-19
4R3/8/5k1B/8/1p4P1/1P1P4/1P5K/8 b - - 12 116,-9
8/8/PP3k2/8/6K1/2p5/2P5/5R2 b - - 54 178,-6
1k5K/8/8/8/2P4R/4PP2/8/8 b - - 36 246,-10
1nr5/2p3p1/2N1k3/5p2/1P2PPPb/PR5P/2PP3K/2R2B2 b - - 3 66,-1130
8/1kB5/3r4/3N1P2/P7/3P3P/1PP2K1R/8 w - - 11 134,+1327
k6B/8/2P5/4P3/1R1P3P/3B1PPK/Pp6/8 w - - 0 100,+3
4k3/8/4K3/6Q1/8/6B1/8/8 w - - 27 198,+1
3B4/4p3/5p2/6k1/r7/P1P1K1Pb/8/6R1 w - - 2 92,+168
3B4/pk6/2p3P1/8/3b4/P3n1PK/1P6/R7 b - - 19 112,-944
1rbq2nr/pNpp1p1p/5k2/6p1/8/2P1PPPN/PP5P/R1B1KB1R w KQ - 1 15,+960
1K2Bk2/8/8/8/1P6/P1PP4/8/8 b - - 11 157,-1327
3k4/p2pp3/7B/P2P4/4K3/2r5/1PP2PPP/4b1R1 b - - 2 55,-947
3B4/7k/2P5/1P5P/n3P3/3P4/8/5K2 b - - 0 103,-1327
7k/p2p1r2/1p3npp/2r2P2/6Pq/K3P2P/PPPP4/R1B1R3 b - - 4 35,+1011
6N1/3k4/8/8/1K6/1P6/8/8 w - - 75 243,+1093
8/5Rr1/2k5/Pp6/1Kp1P2p/2P5/8/8 b - - 5 141,+8
8/2k1ppNn/2n5/r2p3p/1PN5/P1K3PP/2P1PP2/R4BR1 b - - 6 37,-1112
6q1/2pp1p2/pp2p2k/1RnP2r1/7p/4P3/1PPK2B1/1RB1N3 w - - 0 61,-795
rn6/2ppkp2/p1b1n3/1p6/1P6/4B2r/P1P1PPP1/3RKBNR w K - 6 27,+944
8/1p3p2/p4kp1/2p5/P3q3/2PP3B/1R1K1P1P/8 b - - 1 72,+693
r1bqk1r1/pppp1ppp/2n1p2n/8/5PPP/8/PPPPP1Bb/RNBQK1N1 b Qq - 2 10,+1320
1rb1k1n1/1p1nb3/1q1pp3/p1p5/2QP3r/2P4N/PP1KPPPP/RN3B1R w - - 5 27,-378
2r5/4k3/1p6/7K/3P4/2P1P3/P4P1P/5R2 w - - 15 100,+1187
5k2/3r4/1p6/8/3P4/2P1PK2/P4P1P/4R3 w - - 1 93,+1281
8/2k5/6K1/7P/8/8/8/8 w - - 0 190,+11
8/8/5rk1/1p2PR2/pP1P2P1/8/PKPP2B1/8 b - - 20 80,-1294
2r5/8/4P1k1/3P1pP1/5P2/7P/4K3/8 w - - 13 130,+582
7R/5k1K/8/8/8/8/2p5/8 b - - 0 142,+6
4k3/N7/8/8/2P5/1K2PP2/8/7R b - - 31 127,-8
r1b1k3/pp1p2pp/2r5/n4p2/P1pP1PPb/1P6/3NP1NP/R2K1B1R b - - 8 41,+151
4k3/R7/P7/7p/K7/8/1P6/2q5 w - - 1 171,-374
8/7k/8/8/P7/1K6/1B6/8 w - - 13 267,+11
r1bk1Q2/pp1pp1r1/n1p4N/4P1P1/2PPP3/P1N1B3/1P4P1/R3KB1R b KQ - 0 17,-1327
8/8/1p1k3K/8/3P4/P1PRP1P1/5P2/8 w - - 1 107,+1327
2bn1k2/p1p3pn/2p2PRp/8/P2N4/1PPK3P/3P2P1/R1B5 b - - 2 42,-968
5b1r/rbk2npp/pp1p4/2n1p3/4P2P/P4PP1/RP1PK3/1NB4R w - - 3 35,-877
7K/8/6k1/p7/P4P2/8/3P4/8 b - - 2 159,0
r1bq3r/pppppp1p/n4npk/8/3P3P/3K1P2/PPPP2P1/RNBQ1BNR w - - 1 9,+552
B7/p6r/2P5/P4k2/5B2/2NP4/1P2P3/3K4 w - - 12 80,+1320
r1k4r/p1n3p1/1p1bb1Pp/8/4P3/2QP4/PPP2P1P/R2K1B1N w - - 3 44,+753
2k2r2/2b4K/8/8/P5R1/4P3/1PP2P2/8 b - - 10 146,-12
7r/1N3k2/7B/p4P2/P7/3PK2P/1PP5/3R4 w - - 15 104,+1287
1Q6/1k6/8/1p6/2p1K3/8/8/3r4 b - - 2 170,+10
5K2/8/8/P5R1/8/7k/8/8 w - - 85 251,+5
8/8/1r5K/1pp5/1P3PR1/1kP3R1/1B5P/8 w - - 14 85,+1246
6b1/8/3p2pk/8/4K3/8/8/b1r5 w - - 62 142,-8
1rb1k2r/pp1pppbp/n1p2N2/q5p1/8/R6N/1PPPPPPP/2BQKBR1 b k - 0 8,-927
6Bq/8/6k1/5p1p/2P2PP1/P2P1Kb1/5P2/R5R1 b - - 1 79,+968
2bk1r2/bpppp2p/2Q3p1/p4r1n/2nN2P1/P3P3/1PPP1PBP/1RB1K2R b K - 0 31,-326
8/1p4p1/1b1rpkB1/3p4/K1P2q2/P3P1P1/1P2RP1P/7R b - - 8 62,+3
r1b1k1r1/ppnp1ppp/2pb4/q6n/7P/1PN5/P1PPPPPR/R1BQKB2 w Q - 3 11,-433
1r3k2/pp5p/5n2/5B2/4P3/3Pn3/PPP1KPPP/R5R1 b - - 13 53,-1029
8/4K2k/p7/1bB5/1PP5/P7/8/8 w - - 41 196,+1327
8/8/1N6/2N2k2/3P4/5K2/8/8 b - - 24 164,-12
8/4b2k/7p/1q3p2/1n4n1/3P2PP/P1P1PP1R/2R1K2B w - - 6 46,-344
4r2N/2pn2p1/3Nk3/p4p2/1P2PPPb/5R1P/P1PP3K/2R2B2 b - - 1 59,-1178
8/8/1p2k3/8/8/p7/K7/8 b - - 13 147,+992
8/pkr1pp2/2pqn1p1/8/P7/1PP1b1B1/3P2PP/R3K2R w - - 0 56,+302
r1bq1r2/ppppkp2/n4p1p/3npN2/8/8/PPPPPPPP/1RBQKBR1 b - - 2 10,-216
6k1/8/4p3/p2p3R/P7/2K1n1p1/1PP5/8 b - - 1 87,-331
1B5b/4p2k/p2pprp1/1n4K1/1pB4P/3P2p1/PPP1P3/2RR4 b - - 13 63,-221
rnbqk1r1/pppp1ppp/3bp2n/8/6PP/5N2/PPPPPP2/RNBQKB1R w KQq - 3 5,+146
7q/8/1P3kB1/6pp/8/P4N2/1P4P1/7K b - - 23 114,+926
rk6/p4p1p/b1prpb2/5R2/6Pn/PPPP3B/5P1P/4K1R1 w - - 3 45,-287
2k5/8/N3npP1/B7/P1p2P2/2n1N3/8/5K2 w - - 4 120,+1133
4N3/8/7R/1k3B2/8/1P6/1PP2PPP/4K2R w - - 15 78,+4
1q5k/2P1n3/8/8/3P4/8/8/3K4 w - - 11 178,+1119
8/8/8/5P1K/7P/2k5/3bB1PR/R7 b - - 6 137,-1327
8/8/1k6/8/2P1P1P1/p4PPB/8/3K4 w - - 0 117,+1327
1B5k/p7/2b5/8/1K6/PPP5/1R6/7B w - - 6 126,+1327
3k4/pB2p3/1p2R3/3b1p2/P7/2PPP1n1/1P3PP1/RNBK2N1 b - - 6 36,-1327
5k2/1K6/8/8/8/1p6/8/8 b - - 3 169,+9
3N4/3k4/8/3b4/1p1P4/8/1P3K2/3R4 b - - 4 72,-869
7K/8/3B4/4P3/2P5/7k/8/8 b - - 8 279,-12
8/1k2B3/8/1K6/8/4P3/8/8 w - - 17 234,+36
1k1B4/7p/8/2p5/br6/8/P5rP/4K3 b - - 17 99,+1
8/p3pp1k/3B4/1r6/r3b3/2P1K1P1/P7/4R3 b - - 6 71,+1055
6k1/8/p7/P7/2p5/8/n5K1/8 w - - 8 140,-14
rq3br1/1pp1p3/p2k2p1/n2p3p/5PB1/3b2P1/PPPPPR1P/RNBQK3 b Q - 3 18,-114
5K2/2R5/8/8/8/2P5/7k/8 w - - 25 305,+8
1r1k1br1/ppp2ppp/1R1p1p1n/8/1nP3bP/3P3N/PP1BPPP1/R2QKB2 b Q - 18 20,+76
8/8/N3Nk2/8/p1P2p2/4PPP1/1P6/1RBK4 w - - 11 65,+1327
2R4R/8/8/6k1/2P4p/P2P4/4BP1K/8 w - - 0 107,+3
2b1k3/p1p3q1/8/1P4n1/1PPP1P2/4P3/4K3/R1B1R3 w - - 10 82,+122
4B3/6kp/8/1p2r3/pP1Pb1P1/5P2/P1PP4/2K1R3 w - - 3 65,+1273
2K3k1/8/8/5P1P/8/8/2P5/8 w - - 11 200,+18
8/8/8/3K4/kr6/8/8/8 b - - 5 242,+23
8/7P/PP6/8/7K/2p5/2P5/7k w - - 7 151,+4
1rbqkb2/ppppp2N/4n3/5p1n/N6P/8/PPPPPPP1/1RBQKB2 w - - 0 18,+483
4N3/7k/6N1/p3P3/P6n/4K3/8/8 b - - 52 227,-469
1r6/4pk2/1p2b3/2pP4/1P6/R2P1P2/2K4P/5BN1 w - - 6 64,+974
1rbqkbnr/ppppp2p/n7/5pp1/7P/2N1R3/PPPPPPP1/R1BQKBN1 b Qk - 3 5,+61
7k/8/4B3/6P1/P2P1P1p/4pK2/1P1p3P/R1B2b2 w - - 2 122,+1327
8/6K1/6R1/P7/8/8/7k/8 b - - 92 254,-4
r3r3/pppbqpp1/3kp2p/8/4n3/PPNK1P1P/2PNP1P1/2R2B1R w - - 5 34,-428
8/4k3/8/2K5/P7/8/8/8 w - - 5 267,+23
8/2k3K1/2N5/3P4/8/8/8/8 w - - 19 203,+1165
3K3k/8/p7/8/3P2b1/8/1B1N4/6R1 w - - 9 131,+4
6K1/1k6/8/8/7R/4PP2/2P5/8 b - - 7 212,-12
3K4/1P6/4R3/7q/8/8/3k4/8 w - - 1 237,+399
7k/8/8/1p2P1P1/1PP1r3/p7/P2P4/2KB4 b - - 7 98,+4
1r6/pBp1pNbr/3pqk1p/8/6b1/1PP1P1P1/n1QP1K1P/RNB4R b - - 0 20,-200
6r1/p1pp1prk/3q1P2/1p4p1/5PP1/8/2PP1K2/2B2R2 b - - 2 66,+8
6k1/8/8/4P3/2P5/2RP3K/8/8 b - - 16 240,-11
3Q4/8/7k/8/3Pp1pP/6K1/4P3/8 w - - 0 116,+3
8/6K1/P7/8/6k1/8/8/8 b - - 16 250,-11
r2k1R2/p2bpp2/1pn5/3p4/1P5P/2P1nP2/1R1PP1P1/QNB1KB2 b - - 0 36,-1327
3k4/6K1/8/8/8/pP6/8/1n6 w - - 7 192,-1149
4Nrk1/pp4p1/4p3/nb6/1b6/2P1PrP1/P4P1R/RN1K1B2 w - - 19 39,+611
1k1K4/8/8/8/8/8/2r5/8 w - - 22 232,-17
1rb5/ppppkpp1/B1n4b/4p3/1P2P1P1/7P/PBPPKP2/RN4NR b - - 3 21,-735
1n6/p2r4/1N6/7k/3P4/P4PPb/5K2/RN2R3 b - - 12 86,-967
6k1/8/7K/3R4/5P2/7P/2P5/8 b - - 37 174,-7
1BQ5/4k3/8/4b3/n1P5/3K3P/8/8 b - - 0 110,-1172
7b/2p1pp2/2kr1npr/7p/P1bP1N2/5P1P/1P2P1PR/R1BK1B2 w - - 3 42,+465
4n1k1/2ppqpb1/rp4pr/2n5/4PR1P/5P2/PPPPN3/R1B1KQ2 b Q - 0 21,+568
8/4n3/3BK3/8/P1k5/P3PP2/2P5/4R3 w - - 1 82,+9
r1bqk2r/pppp1ppp/2n1p2n/8/6PP/8/PPPPPP1b/RNBQKBN1 w Qq - 2 9,-851
8/4k1K1/8/8/8/pP6/8/1n6 b - - 6 191,+1233
6k1/3K4/1Q3P2/8/8/4P3/8/8 b - - 36 213,-5
1r6/6pr/p1kR4/Ppp4p/P3PP2/2P5/K7/R7 b - - 3 120,+892
rNbr1bn1/2kp2pp/p7/2n1pp2/8/3PP2P/PPP2PP1/R1BK2R1 b - - 0 32,+1150
2K4k/3P4/8/8/1p6/1P6/1P6/8 w - - 1 196,+6
q2Nrbr1/p1p1p1p1/Q6k/8/2b2Pn1/3nP3/PPPKB1PP/RNB1R3 b - - 7 32,+681
5B2/p7/1k6/7p/3PPn2/P6P/P1PR1P2/2K4R w - - 8 83,+1320
1k6/1p6/p1bp2p1/1P1B4/5b1q/P3PPnP/R1PP2K1/6R1 w - - 2 43,-403
1k6/5R2/qp5p/1P3P2/b2P4/2P1rK1P/4P3/8 w - - 7 86,-668
8/2p4k/p7/3PP3/8/1P1n4/7q/5K2 w - - 1 113,-1
2R5/8/8/P4p1p/4P1kb/8/8/5BK1 b - - 1 118,-940
rn1n4/2pp1pk1/p2R4/Bp1b4/PP4P1/7B/2P1PP2/1R2K1N1 w - - 7 41,+1090
4R3/8/1p4qP/6p1/1b1p4/1P1P3k/2P1K3/8 w - - 17 104,-7
8/8/8/6k1/2PP2B1/8/8/4K3 w - - 18 190,+1327
rnbqkbnr/pppppp1p/6p1/8/8/4PQ2/PPPP1PPP/RNB1KBNR b KQkq - 1 2,+67
4k3/6p1/1p6/1P1r4/8/8/8/5K2 w - - 0 161,-12
k7/3P4/1p6/1P6/P4P1P/7P/4P3/K7 w - - 7 146,+6
8/4K3/1k6/8/7p/5Q1P/8/8 w - - 21 237,+4
8/7K/8/k1r5/8/p7/8/8 b - - 11 174,+5
r7/p1kpp3/8/P2b1r2/4PnK1/b6R/1PPP1PPP/2B3R1 b - - 1 40,+8
8/8/8/pP3k2/P2B4/6P1/1K4R1/R7 w - - 41 141,+6
3k2r1/6b1/3B2pp/1N2Np2/qn4n1/3P4/P1P1PPPP/R2QKB1R w KQ - 2 28,+1162
6k1/8/4n3/8/3P4/3K4/8/8 w - - 48 204,0
r1q1kr2/p4p1p/bpp1p1p1/3p4/1BPPB1P1/1P5P/P3PP2/RN1QKR2 b Qq - 0 19,-839
rn1qkbnr/ppp1pppp/3p4/8/8/N1P2N1b/PP1PPPPP/R1BQKB1R w KQkq - 3 4,+583
r1br4/pp1ppkbp/n7/6p1/3P4/4n3/PPP1PPPP/R2QKBNR b KQ - 0 18,+250
1rbqkbr1/1ppppp2/p4n1p/2n3p1/3P3P/5P2/PPPKP1P1/R1BQNBNR b - - 0 13,+332
4R3/8/8/3p4/3P3p/4PK2/P1kP4/2B2b1R w - - 8 99,+4
2bqkbr1/r1pBpp1n/np4p1/p2N4/5P2/4P3/PPPPK1PP/R1BQ3R b - - 0 13,+1016
r1bq1k1r/pppp1pp1/2n1p2p/4N2n/2B5/b1N1P3/PPPP1PPP/R1BQK2R w KQ - 14 10,+792
8/4k3/8/8/p7/P5K1/8/8 b - - 19 244,0
1rb5/ppkpb1pp/3r4/n1p1Np2/3P1PP1/1P6/P1K1P2P/RN3B1R w - - 5 32,+181
1n5r/2p3p1/3pkp2/p3NN2/1P2PPPb/6RP/P1PP3K/2R2B2 b - - 3 55,-1068
k7/p7/P5N1/8/2Pq4/4P1P1/R1KP1R1P/8 b - - 0 74,-1327
2k5/8/2r1P3/1p6/2p5/7K/8/8 w - - 3 162,-9
b1r5/p1r1k2p/1N1p2p1/np3P2/P2P1P1b/1P2P3/4R1NP/3K1B1R b - - 3 55,+3
2r1r3/n1p1kppp/2q5/3pp3/3PP3/2P1BPP1/1P5P/1NR1Q2K w - - 4 35,+147
8/5q2/3k4/5p1p/2P3P1/P2P1B1K/5P1R/R7 w - - 13 91,+998
b2q4/r1p1p2k/2p5/p4pp1/5P1N/P1PPn3/2PR1K1P/RNB5 w - - 2 37,-324
5B2/4K3/6k1/4P3/2P5/8/8/8 b - - 0 275,-12
3B4/7k/8/1n6/2p5/P2PP3/1K6/R7 w - - 10 91,+1168
8/3p4/N4q1k/3P3P/8/1P2Pn2/P1P2R1P/1K5R b - - 3 52,-675
4r3/2pp1pk1/pB3qQ1/n7/1P6/P1P3P1/3PP3/1R2KB1N b - - 0 57,+385
4K3/1p6/p7/P1P5/3k1p2/8/8/8 b - - 6 133,+16
7R/7K/p2k4/8/4P3/8/6P1/r3N2R w - - 0 156,+1266
8/1k6/1p4p1/1P6/8/6K1/8/8 w - - 4 172,-1006
6k1/8/8/8/2N5/8/3B2K1/8 b - - 64 222,-113
r3k3/p2ppp1r/1B5b/7p/1n4n1/pq1P1P1R/1RP1KP1P/1N1Q4 w - - 2 23,+427
5B2/5k2/3n4/8/2p5/P2PP3/2K5/R7 b - - 19 95,-1103
4k3/8/8/P3K3/8/2P3P1/1P5P/8 w - - 1 104,+7
8/p2p3p/4k3/2r4r/2P2P2/3KP3/1P6/1RBB1R2 b - - 3 66,-1055
7r/3PP3/6k1/5pP1/5P2/7P/8/4K3 w - - 1 134,+6
2k5/6P1/3p1P2/5q2/2PP4/8/2b4K/8 w - - 1 120,0
5B2/1k6/8/3K3P/p1PP4/P7/R1P1N3/8 b - - 14 113,-5
8/4QK2/8/8/4pk2/8/8/8 b - - 7 159,-13
5B2/3k4/6r1/p4P2/P4K2/2NP3P/1PPR4/8 w - - 55 124,+7
7k/1p1Bbp2/8/8/6P1/B1P1P2r/P2P1P1P/R4K2 b - - 6 69,-1025
7B/k1n5/p7/2p2r1p/1Pp5/3P2P1/3KPPP1/5B1R b - - 7 54,-703
4r3/4k3/6K1/8/8/8/8/8 w - - 34 160,-13
K5k1/8/6p1/1r1pBP1p/4P2P/N7/8/8 w - - 6 116,+1327
8/3b4/1P4k1/p1K3B1/8/P7/8/8 w - - 42 235,+1131
6r1/N4p2/4k3/4q2Q/8/3PP3/PPPbBP1P/R2K3R b - - 6 60,-1320
r1b2r1k/p2pbnpp/n3p3/1p6/6PP/3P1K2/PPP1PP2/RN3B1R w - - 1 21,-876
8/8/7Q/5k1K/8/8/8/8 b - - 8 195,-8
8/6kB/8/4P3/8/8/4K3/8 b - - 37 193,-1
r1q3n1/2ppprbk/p7/1N3ppp/2P5/P4QP1/1P1PPPRP/R1B1KBN1 b Q - 3 24,-655
rnb2r2/pp1ppp1k/2q3pp/2pn2P1/6NP/3K1P1N/PPPP4/1RB1QR1B b - - 5 29,+250
1k6/4K3/8/8/8/8/2r5/8 b - - 23 232,+10
r1bqkb1r/ppppppp1/n6p/8/6n1/1P5N/P1PPPPPP/RNBQKB1R w KQq - 1 7,+90
4K3/7k/8/P6P/3P4/8/7B/8 b - - 6 197,-9
8/5k2/1p6/8/8/pK6/8/8 b - - 11 146,+1
7k/3r3p/6B1/1p2P3/pP1P2P1/8/P1PP4/2K3R1 b - - 2 68,-1127
8/4K2k/8/7p/8/8/8/8 w - - 14 244,-1129
1rbq4/2npkp2/pp1p1b2/1P1p3p/3P3n/2P5/P1R1PPPP/2B1KBR1 w - - 0 35,-916
6r1/pk3np1/8/nN3P2/PP4P1/4K3/3PP3/R1B2r2 w - - 15 78,+59
rn6/pppk1p1p/8/3pNb2/4n3/b1P1BBP1/PP2PP1P/2R1K2R b K - 8 24,-714
3K4/8/p1p5/P1k5/8/5p2/8/8 w - - 20 160,-11
4k3/8/5R2/2P5/7K/3P4/8/8 b - - 9 285,-8
6k1/6n1/2K5/7P/4bB2/8/8/8 w - - 23 171,-2
1r1N4/ppp3p1/3k4/6q1/1b1P2Pp/NP2P3/P1P1KPB1/R2Q1R2 b - - 8 39,-1178
7K/k5P1/8/3P4/4PPR1/p1P5/8/8 b - - 7 138,-5
3r2k1/p1p1pq2/2B4r/3PK3/6P1/2P1P1P1/PP6/RN4R1 b - - 4 51,+5
8/7R/1K6/1P6/3p4/3P4/8/6k1 b - - 44 183,-1327
7r/p3k2p/3p2p1/np3P2/P2P1P2/1Pr1P3/2R3BP/3K2NR b - - 5 63,-531
4k3/6n1/K7/7P/4b3/2B5/8/8 w - - 1 160,0
5Q2/8/8/8/K5k1/3r4/8/8 w - - 1 195,+265
3r4/p1kpp3/7r/P2P4/1b2K3/3n4/1PP2PPP/2B3R1 b - - 7 49,+938
4qk2/2K5/p7/P7/8/8/8/8 b - - 17 178,+5
1k5r/2p2p2/8/P2rn2p/2b2P1P/3R4/1b2P1B1/2R2K2 w - - 10 73,-287
2N5/2k3r1/2p3p1/1B6/q7/R1P1PPPP/PP4R1/2B1K3 w - - 13 65,+1327
1r2q3/p1pp1prk/1p2p3/6p1/4PPPN/8/2PP3K/R1B3Q1 b - - 7 43,+199
4R3/7k/8/1P4K1/b2q4/2P4P/4P3/8 b - - 1 117,+934
8/1Q3p2/2nk4/5Nr1/7N/3P2q1/PPPbPP1P/R2K1B1R b - - 2 50,-1327
rnbqkbnr/pP2pp1p/6p1/1B6/3P4/8/PPP2PPP/RNBQK1NR b KQ - 0 6,-1320
5rk1/1b1B1p2/p2n3p/1Pp1PPr1/P1P5/3P2P1/R7/R1BK4 b - - 2 67,-605
8/7k/3p2p1/3P4/5r2/8/3K4/b4b2 w - - 4 108,-7
8/5B2/pk6/7r/2P2P2/2B5/1P1K4/2R5 w - - 21 107,+10
1r3br1/pn2pppp/np2k3/8/2KPP2P/1P3bq1/PBP2P2/RN1R4 w - - 3 47,-1078
4k3/8/3B4/p7/2P2Pr1/4K3/1P6/1B5R w - - 22 135,+1274
1k6/7K/p7/8/8/8/4p3/8 b - - 10 158,+9
r1b1kbr1/1p1n2pp/p2pp2n/4p3/8/P5P1/RP1PPP1P/1NB1KB1R w K - 2 20,-595
rnq1k1nr/p2p2pp/bpp1pp2/8/4PN2/bP6/2PPQPPP/R1B1KBNR b KQkq - 1 9,+909
8/1B6/7P/5P2/2K1P3/7k/8/8 w - - 3 166,+7
1rqr4/p2pkNpp/npp1pp1n/1b6/4PPP1/1P6/1bPP3P/R1BK1BNR b - - 8 19,+1254
r5r1/2kp2pp/6PR/p4p2/3PP3/P1b4P/1PP2P2/1R1K4 b - - 0 78,+665
r7/p1pp1prk/8/1p2qpp1/4PPP1/Q7/2PP2K1/R1B5 b - - 9 52,+1033
2R5/8/3k3P/8/P7/8/6K1/8 w - - 7 205,+6
7k/8/8/3B1P1P/4P3/8/2K5/8 w - - 9 149,+9
8/3P2k1/8/8/1P2K3/8/P7/8 b - - 2 126,-6
2R2K2/8/1b6/8/6k1/8/8/8 b - - 3 148,-1
3k4/pppq1p2/2Q1bp2/8/2P5/4P3/PP1P3P/1RBK3R b - - 12 51,+694
7B/r7/5Pk1/8/3K4/8/8/8 b - - 10 183,+1
7r/8/4P2k/p3K3/PP4P1/8/3pP3/8 w - - 4 137,-1234
r1b2qr1/pp1pppkp/n4np1/2pP4/6PP/3K1P2/PPPP2B1/RNBQ2NR b - - 4 13,-319
3r4/1pk1p1b1/p1B1q3/n7/N2p1P1B/1P2P1P1/P1PPK2P/R3Q3 w - - 27 51,+979
7k/8/4R3/8/2P5/4PP2/1K6/8 w - - 14 141,+6
8/8/2k4P/8/P5K1/8/8/5R2 b - - 20 211,-6
3k4/6K1/p3b3/8/3Pp3/6N1/8/B6R b - - 12 114,-1111
8/1pq1p2p/6p1/2n2nk1/2P5/P3P2b/1P1P1PPP/1RB1KBR1 b - - 0 27,+817
B7/1R6/3knp1p/1p6/4bn2/P1P3PP/1P2PP2/1N2K2R w K - 1 66,+1275
4R3/p7/6p1/P2pp3/b7/2Pk2P1/8/4K3 b - - 9 92,+1327
1rbqkr2/2ppppb1/pp3n2/2nP2p1/5P1p/2R4N/PPPKP3/R1BQNB2 b - - 0 24,+1089
6K1/3k4/8/8/P4P2/P3P3/7B/4R3 w - - 1 90,+9
N1k5/p2p2p1/npp1pp2/8/4PPP1/nP1q4/2PP4/1RBK1R1N w - - 14 68,+951
4r3/ppp5/3p2p1/4k3/1PP2b2/3P4/4K1b1/8 w - - 3 56,-1327
r7/pr1p3k/1p4pp/5Pn1/2K1P1Pq/7P/PPPP1R2/R1B5 w - - 31 53,-737
1k1n4/2r2pB1/4p3/p1p3p1/P7/1Pb5/2RP2PP/6KR b - - 1 73,+465
8/k5B1/2P5/6K1/8/8/8/8 w - - 20 278,+10
3qr3/4k2p/rBp3p1/3p4/4N3/2P2PP1/PP2P1RP/3RKB2 w - - 0 40,+1175
8/3K3R/1P6/7p/P6k/8/1P6/8 b - - 4 140,-7
8/5kp1/1p6/1P6/3r4/8/8/6K1 w - - 6 164,-11
b7/6bp/3p1rPk/pB6/P7/1P1P1P1K/2P1NP2/R3R3 b - - 0 55,-686
8/pkB5/2p3P1/8/6P1/P7/1P4K1/3R4 w - - 1 123,+6
8/8/7k/5p2/p2p1PP1/2B1K2B/p1PRP3/6N1 w - - 0 68,+8
5k2/2P5/8/2P5/p7/P7/8/3K4 b - - 6 194,-8
8/4b2k/5R2/4P3/p7/1P6/P3P3/5K2 w - - 7 127,+1246
3k4/7R/8/1N6/2P5/1K2PP2/8/8 b - - 35 129,-5
rnb1kbnr/ppqppppp/2p5/8/8/6P1/PPPPPPBP/RNBQK1NR w KQkq - 2 3,+80
3R4/k7/8/7P/3P4/P5P1/7K/8 b - - 29 159,-1327
rnbqk1nr/pppp2pp/3b3N/8/8/P5P1/1PPPPP1P/RNBQKB1R w KQkq - 3 7,+546
2b5/8/3K1k2/P7/1p6/1PP2P1P/7N/4R3 b - - 0 120,-1276
2b5/p3k2p/5N1P/1K1P4/2p2P2/2P5/P5nP/8 b - - 24 125,+800
r2k2n1/pb1pp1br/2pq1ppp/8/4PN2/N7/PPPPKPPP/R1BQR3 w - - 0 12,+175
5K2/8/8/8/4Pk2/8/8/8 w - - 4 168,+1
1n4n1/1r2pr2/1p4k1/4P3/P6P/3P4/1PPK1PP1/1RB3R1 w - - 9 61,+380
1rbqkb1r/p1pppppp/n4n2/1p6/7P/2NP2PR/PPP1PP2/R1BQKBN1 b Qk - 2 5,+133
r6r/pbpp2pp/2nk1bq1/1Q6/5nP1/P3P2R/BPPP3P/RNB3K1 b - - 11 30,+1327
3r2q1/pppkpprp/n2p2pR/3b4/4P1P1/1P1P1P2/P1P5/bN1QKBN1 b - - 0 20,+651
8/7k/nK6/5R1P/8/8/8/8 w - - 15 148,+10
2N5/7k/5K2/6P1/2P2P2/8/8/8 w - - 7 160,+5
8/qb1pnp1p/1p5k/pP6/3PPPr1/P6P/2P1P3/R1B1KR2 w - - 5 39,-68
4nb2/6pr/3p2kB/7p/3PP2P/5P2/PPK5/RN6 b - - 3 52,0
rnbk1b1r/p2ppppp/1pQ5/2p4n/P7/2P4P/1P1PPPPR/RNB1KBN1 b Q - 2 11,+44
1r2N3/pp3p1p/6p1/k7/PbP5/3P1P1P/1Pb1P1P1/1R2KBNR w - - 3 41,+418
8/6k1/8/8/P7/5KB1/8/8 w - - 67 294,+10
7r/5k2/2R5/2b5/6K1/4P2P/PPP2P2/5R2 w - - 3 104,+1244
4K3/7N/6k1/p7/P7/8/8/8 w - - 7 259,+1114
8/8/3k2K1/8/4n3/pP6/8/8 w - - 23 200,-1191
r1bqkb1r/pppppppp/7n/2n5/2B5/4P3/PPPP1PPP/RNBQKR2 b Qq - 6 10,+612
1R6/6K1/k7/8/8/2p5/2P5/8 w - - 45 197,+8
1Q6/8/1k6/8/4P1K1/2p4r/2P5/2b5 b - - 14 143,-1307
k1B5/8/8/2R5/8/1PN5/1PP2PPP/4K2R w - - 39 90,+3
5k2/8/3K4/7P/p1PP4/P7/R1P1N3/4B3 b - - 42 127,-9
3r4/p5N1/4n1k1/4R3/3P2P1/P4P1b/5K2/RN6 w - - 3 98,+1312
